"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\calcCrowLevel.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\calcPlayerLevel.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\butterfly.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\cactus.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\charmer.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\gymnast.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\moon_tamer.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\ninja.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\shredding.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\categories\slayer.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\adventurer.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\economist.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\eternal.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
